Crop,District,Years_Covered,Total_Area,Total_Production,Average_Yield,Yield_Std,Maximum_Yield,Minimum_Yield,Records,CV_Percentage,Yield_Stability
Sugarcane,DINDIGUL,23,203633.0,1129137981.0,5799.9,5453.58,14635.83,55.45,39,94.03,Highly Variable
Sugarcane,TIRUCHIRAPPALLI,23,200648.0,1113567812.0,5692.57,5049.4,14385.79,70.5,39,88.7,Highly Variable
Sugarcane,SIVAGANGA,23,187852.0,941185318.0,5095.65,4664.8,12393.17,63.09,39,91.54,Highly Variable
Sugarcane,TIRUNELVELI,23,155075.0,804691248.0,5336.64,4822.56,12279.45,63.82,39,90.37,Highly Variable
Sugarcane,ARIYALUR,11,113663.0,744089397.0,6843.76,4777.51,11620.43,90.67,16,69.81,Highly Variable
Sugarcane,VIRUDHUNAGAR,23,122709.0,668937994.0,5686.12,5010.98,12273.27,86.8,39,88.13,Highly Variable
Sugarcane,NAGAPATTINAM,23,137368.0,629923272.0,5126.25,4573.72,12273.3,66.45,39,89.22,Highly Variable
Sugarcane,TIRUPPUR,11,82742.0,562004498.0,7541.32,5498.69,13454.72,91.89,16,72.91,Highly Variable
Sugarcane,THIRUVARUR,23,65207.0,338156550.0,5902.61,5180.88,12279.46,91.25,39,87.77,Highly Variable
Sugarcane,KRISHNAGIRI,16,44769.0,229322978.0,5854.4,4834.6,12279.4,53.64,26,82.58,Highly Variable
Sugarcane,RAMANATHAPURAM,23,15142.0,85874804.0,5994.66,5230.5,12279.48,91.84,39,87.25,Highly Variable
Sugarcane,THOOTHUKUDI,21,4182.0,44016100.0,10489.57,832.39,12279.45,8699.39,21,7.94,Highly Stable
Sugarcane,THE NILGIRIS,19,910.0,5073572.0,6068.94,5143.12,12280.0,92.14,31,84.75,Highly Variable
Sugarcane,TUTICORIN,18,3780.0,767625.0,755.24,2520.11,10811.54,91.86,18,333.68,Highly Variable
Sugarcane,KANNIYAKUMARI,5,44.0,237552.0,5291.44,5480.58,11257.14,98.0,10,103.57,Highly Variable
